name,price,latitude,longitude,url,location,room_type,"""Balcony""","""Cable Ready""","""Convenience Store""","""Dishwasher Available""","""Flooring - Ceramic""","""Flooring - Hardwood""","""Fridge""","""Heating""","""Laundry Facilities""","""Microwave""","""Nearby""","""On-site Management""","""On-site Staff""","""Parking - Underground""","""Parking - Visitor""","""Parks""","""Public Transit""","""Schools""","""Shopping""","""Storage Lockers""","""Stove""","""Walk-in Closet""","""Water""","""Other""","""Outdoor Parking""","""Air Conditioning""","""Elevators""","""Fitness Room""","""Keyless Entry""","""Recreation Room""","""Social Room""","""Blinds""","""Dryer""","""Internet Ready""","""Sauna""","""Washer""","""24h Security""","""Bike Racks""","""Central Air Conditioning""","""Elevator""","""Exercise Room""","""Fitness Area""","""Hydro / Electricity""","""Jacuzzi""","""Party Room""","""Pool - Heated""","""Rooftop Deck""","""Secured Access""","""Security On-site""","""Swimming Pool""","""Bike Room""","""Parking - Assigned""","""Parking - Covered""","""Parking""","""School""","""City View""","""Outdoor Play Area""","""Pool - Outdoor""","""Private Yard""","""Storage""","""Video Surveillance""","""Window Coverings""","""Park View""","""Pool - Indoor""","""Storage Room""","""Bank""","""Bars""","""Bbq Area/Courtyard""","""Bike Trails""","""Bus Stop""","""Cafe""","""Daycare""","""Dishwasher""","""Dog Park""","""Garden""","""Gas Station""","""Grocery Store""","""Gym""","""Hospital""","""Movie Theater""","""Pool""","""Public Library""","""Recycling""","""Restaurants""","""Running Path""","""Security Cameras""","""Shopping Centre""","""Cable""","""Ensuite Laundry""","""Fireplace""","""Flooring - Laminate""","""Internet / WiFi""","""Playground""","""Alarm System""","""Flooring - Tile""","""Gas Heating""","""Patio""","""Flooring - Carpeted""","""Buzzer Entry""","""Individual Thermostats""","""Intercom""","""Pet Friendly""","""Private Entry""","""Professionally Managed""","""Wheelchair Access""","""Guest Suite""","""Rooftop Garden""","""Rooftop Lounge""","""Theatre Room""","""Furnished""","""Newly Renovated""","""freezer included""","""fridge included""","""oven included""","""smoker friendly"""
120 Raglan Avenue,"[1864.0, 2003.0, 2347.0]",43.6865158,-79.421005,https://rentals.ca/york/120-raglan-avenue,York,"['Jr. 1 Bedroom', '1 Bedroom', '2 Bedroom']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310-312 Lonsdale Road,"[2134.0, 2475.0]",43.6892239,-79.411199,https://rentals.ca/toronto/310-312-lonsdale-road,Toronto,"['1 Bedroom', '2 Bedroom']",,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 Walmer Road,"[2183.0, 2353.0, 2888.0]",43.6688769,-79.405555,https://rentals.ca/toronto/35-walmer-road,Toronto,"['Jr. 1 Bedroom', '1 Bedroom', '2 Bedroom']",1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 Spadina Road,"[2549.0, 2732.0, 3506.0]",43.66906952269367,-79.4046717895492,https://rentals.ca/toronto/50-spadina-road,Toronto,"['1 Bedroom', 'Large 1-Bedroom', '2 Bedroom']",1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 Carlton Street,[3700.0],43.66141529999999,-79.380663,https://rentals.ca/toronto/45-carlton-street-2,Toronto,['2.5 Bedroom'],,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191 Sherbourne Street,"[1749.0, 1879.0, 2329.0]",43.6567414,-79.369994,https://rentals.ca/toronto/sherbourne-estates-1,Toronto,"['1 Bedroom Med Renovated', '1 Bedroom Large Renovated', '2 Bedrooms Renovated']",1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201 Sherbourne Street,"[1749.0, 1879.0, 2249.0]",43.6576678,-79.370436,https://rentals.ca/toronto/sherbourne-estates-2,Toronto,"['1 Bedroom Med Renovated', '1 Bedroom Large Renovated', '2 Bedroom Renovated']",1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldengate Apartments,"[1700.0, 1750.0, 2100.0]",43.7247826,-79.302956,https://rentals.ca/north-york/1790-eglinton-avenue-east,NorthYork,"['One Bedroom', 'One Bedroom (Large)', 'Two Bedroom']",1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730 Dovercourt Road - Doversquare Apartments,"[1707.0, 1887.0, 1907.0]",43.6607132,-79.429237,https://rentals.ca/toronto/730-dovercourt-road-doversquare-apartments,Toronto,"['Bachelor', 'Jr. 1 Bedroom', '1 Bedroom']",1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900 Bathurst Street - Emerald Towers,"[2347.0, 2747.0]",43.7145253,-79.428731,https://rentals.ca/north-york/2900-bathurst-street-emerald-towers,NorthYork,"['2 Bedroom', '3 Bedroom']",,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
